,number,active_ingredients,inactive_ingredients,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
301,55335251,[' Sodium fluoride 0.243% (0.16% w/v fluoride ion) \\n'],"['glycerin', 'hydrated silica', 'sodium hexametaphosphate', 'water', 'PEG-6', 'flavor', 'trisodium phosphate', 'sodium lauryl sulfate', 'carrageenan', 'cocamidopropyl betaine', 'sodium saccharin', 'sucralose', 'gum xanthan', 'titanium dioxide', 'mica']","Crest 3D White Luxe Diamond Strong Whitening Toothpaste, Brilliant Mint, 4.8 oz",$4.74 ,50,47,9,1,4,4
302,26965692,"['Glycerin', 'aqua (water)', 'xylitol', 'cellulose gum', 'avena sativa (oat) bran', 'beta-glucan', 'calcium lactate', 'panthenol', 'flavor*.Formula contains no artificial color or fragrances', 'phthalates', 'sodium lauryl/laureth suflate', 'sodium myreth sulfate', 'parabens or harsh preservatives.*Natural strawberry banana flavor.']",[],"Earth's Best Toothpaste, Strawberry & Banana, 1.6 oz. Tube",$10.23 ,206,3,0,0,0,0
303,773425675,[' Sodium fluoride 0.243% (0.15% w/v fluoride ion)'],"[' sorbitol', 'water', 'hydrated silica', 'sodium lauryl sulfate', 'trisodium phosphate', 'cellulose gum', 'flavor', 'sodium phosphate', 'sodium saccharin', 'carbomer', 'red 28']","Kid's Crest Cavity Protection Bubblegum Flavor Toothpaste Gel Formula, 4.2 oz",$6.89 ,29,4,0,0,0,0
304,699064852,[''],[],"Polident Dentu-Creme Denture Toothpaste, 3.9 Oz Each",$7.73 ,128,1,0,0,0,0
305,170339596,"['Purified Water', 'Xylitol', 'Calcium Glycerophosphate', 'Cellulose Gum', 'Grapefruit Seed Extract (As A Preservative)']",[],"Kid's Spry Original Tooth Gel with Xylitol, 2 oz",$10.60 ,206,8,0,0,0,0
306,349676711,[''],[],Colgate Essentials Daily Toothbrush + Toothpaste with Charcoal,$7.69 ,45,1,0,0,0,0
307,727318200,[''],[],(4 Pack) Arm & HammerÂ® Sensitive Whitening Toothpaste with Baking Soda & Tartar Control 4.5 oz. Box,$12.48 ,206,58,18,1,2,5
308,684021470,"['Vegetable Glycerin (Soothes and Moisturizes)', 'Sorbitol (Humectant)', 'Purified Water', 'Aloe Vera Gel (Soothes and Moisturizes)', 'Hydrated Silica (Thickener)', 'Xylitol (Sweetener)', 'Erythritol (Sweetener)', 'gum xanthan (Thickener)', 'Flavor* (Yum)', 'Calcium Glycerophosphate (Mineral)', 'Potassium Sorbate (Maintains Stability) and Stevia Rebaudiana Leaf Extract (Sweetener)*. *Certified Organic.']",[],hello organic apple toddler training toothpaste,$3.88 ,5,140,17,1,2,1
309,422066326,[''],[],"Luster Premium AM/PM Enamel-Safe & Effective Professional Teeth Whitening Dual Toothpaste, Mint, 4 oz",$9.73 ,206,3,0,0,0,0
310,142924183,[''],[],"3 Pack - Polident Dentu-Creme Denture Toothpaste, 3.9 Oz Each",$15.28 ,128,8,1,0,0,1
311,46232883,[''],[],Close-Up Toothpaste Gel Cinnamon Red 8 oz (Pack of 6),$22.96 ,109,1,1,0,0,0
312,656471123,[''],[],2 Pack - Crest 3D White Luxe Diamond Strong Toothpaste 3.5 oz,$14.13 ,45,41,7,1,4,4
313,776082173,"[' Stannous fluoride 0.454% (0.15% w/v fluoride ion) - Anticavity', 'Antihypersensitivity; ']","[' Glycerin', 'PEG-8', 'hydrated silica', 'pentasodium triphosphate', 'flavor', 'sodium lauryl sulfate', 'titanium dioxide', 'polyacrylic acid', 'sodium saccharin', 'cocamidopropyl betaine.']","Sensodyne Rapid Relief Sensitivity Toothpaste, Extra Fresh, 3.4 ounce (Pack of 3)",$34.98 ,206,11,5,0,0,1
314,42386905,"['Active ingredient Sodium fluoride 0.243% (0.16% w/v fluoride ion) Inactive ingredients sorbitol', 'water', 'hydrated silica', 'disodium pytophosphate', 'sodium lauryl sulfate', 'sodium hydroxide', 'flavor', 'sodium saccharin', 'gum xanthan', 'carbomer', 'mica', 'titanium dioxide', 'blue 1']",[],"Crest Kids Cavity Protection Toothpaste featuring STAR WARS, Minty Breeze, 4.2 oz, Ages 6+",$5.98 ,206,293,36,16,0,1
315,54218106,[''],[],"Colgate Kids Powered Toothbrush, Toothpaste Pack - Trolls",$6.05 ,206,5,0,0,0,0
316,46234298,"['Sodium fluoride 0.24%Inactive Ingredients:', 'Water (aqua)', 'hydrated silica', 'sorbitol', 'glycerin', 'tetrapotassium pyrophosphate', 'tetrasodium pyrophosphate', 'xylitol', 'sodium lauroyl sarcosinate', 'sodium chlorite (peri oz)', 'mentha piperita (peppermint) oil', 'zinc gluconate (zinc rx)', 'aloe barbadensis leaf juice', 'sodium benzoate', 'ubiquinone.']",[],Dr. Katz Perio Therapy Gum Care Gel Toothpaste 3.50 oz (Pack of 3),$12.33 ,25,34,4,0,0,1
317,189047264,[''],[],"SmartMouth Premium Zinc Ion Toothpaste, Mild Mint 6 oz",$10.08 ,206,5,0,0,1,0
318,44722085,[''],[],Pepsodent Complete Care Toothpaste Original Flavor 6 oz (Pack of 2),$9.25 ,206,1,0,0,0,0
319,260382849,[''],[],"24HR Bad Breath Prevention, SmartMouth Original Activated Dual-Solution Fresh Breath Rinse and Premium Toothpaste",$25.30 ,206,2,0,0,0,0
320,273773652,[''],[],"4 Pack - Close-Up Fluoride Toothpaste, Freshening Red Gel 4 oz",$11.35 ,109,1,0,0,0,0
321,190905837,['Stannous Fluoride 0.454% (0.16 w/v Fluoride Ion)'],[],"Crest Pro-Health Advanced Sensitive & Enamel Shield Toothpaste, 3.5 oz",$3.33 ,107,51,35,15,1,9
