number,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
957605400,"Crest 3D White Brilliance Blast Whitening Toothpaste, Energizing Mint, 4.1 oz",$6.97 - $10.97,262,34,3,6,0,2
35764257,"Colgate Optic White Whitening Toothpaste, Sparkling White - 3.5 ounce (2 pack)",$6.96,329,66,15,4,2,5
147235639,"Crest Pro-Health Advanced Gum Protection Toothpaste, 3.5 oz, Pack of 2",$2.97,206,101,33,16,5,9
19407650,"Orajel Daniel Tigers Neighborhood Fluoride-Free Training Toothpaste & Toothbrush Combo Pack, Fruity Stripes, 1.0oz",$3.97,53,17,1,2,0,0
183243777,"Colgate Total Whitening Toothpaste Gel, 4.8 oz. 2-pack",$4.96,36,110,36,7,2,24
120895154,Biotne Gentle Formula Gentle Mint Toothpaste 4.3 Oz Box,$6.33,262,13,2,1,0,16
845641496,"Crest Pro-Health Advanced Deep Clean Mint Toothpaste, 5.1 oz, Pack of 3",$9.97,36,16,1,1,0,0
100418089,Colgate Optic White Radiant Whitening Toothpaste - 3 ounce,$3.50,329,262,93,30,6,3
23814510,"Sensodyne Repair & Protect Fluoride Toothpaste for Sensitive Teeth, 3.4 ounces",$6.86,38,64,12,1,1,6
49913307,"Crest 3D White Arctic Fresh Whitening Toothpaste, Icy Cool Mint, 4.8 oz (Pack of 2)",$5.58 - $9.97,36,537,160,32,7,3
146656230,"Crest Pro-Health Advanced Deep Clean Mint Toothpaste, 3.5 oz",$2.97,262,196,79,54,23,39
212386629,"Colgate Total Whitening Toothpaste Gel, 4.8 oz. 3-pack",$7.27,36,110,36,7,2,24
748296080,"(4 pack) Arm & Hammer Advance White Extreme Whitening Baking Soda and Peroxide Toothpaste, 6 Oz",$10.88,36,61,11,4,2,4
690170074,"Crest Pro-Health with a Touch of Scope Whitening Toothpaste, 4.6 oz, Pack of 2",$4.97,162,42,12,0,2,0
19407649,"Orajel My Little Pony Fluoride-Free Training Toothpaste & Toothbrush Combo Pack, Pinkie Fruity, 1 oz.",$3.97,329,17,1,3,0,0
122568506,"Crest Pro-Health Advanced Whitening Power Toothpaste, 5.1 oz",$3.92,115,94,60,8,4,3
954265656,"Crest 3D White, Whitening Toothpaste Stain Shield, 4.1 oz",$3.97,329,39,9,0,0,2
16940660,"TheraBreath Dentist Recommended Fresh Breath Toothpaste, 4 oz",$7.42,36,106,16,2,2,3
16564840,"Colgate Max Clean with Whitening Foaming Toothpaste, Effervescent Mint - 6 oz",$2.47,262,13,5,1,0,0
115798980,"Sensodyne Pronamel Strong & Bright Mint Fluoride Toothpaste to Strengthen and Protect Enamel, 3 ounce",$3.58,52,10,1,0,0,1
700896516,"Colgate Total Whitening Gel Toothpaste, 4.8oz 4pk",$18.59,36,110,36,7,2,24
129459877,"Rembrandt Deeply White + Peroxide Whitening Toothpaste, Fresh Mint Flavor, 2.6-Ounce (2 Pack)",$10.97,36,38,14,7,2,9
107761146,"Colgate Maximum Cavity Protection Kids Toothpaste Pump, Wonder Woman, 4.4 ounces",$3.96,262,2,0,0,0,0
303741573,"(2 pack) Fresh 'N Brite Denture Toothpaste, 3.8 oz",$5.94,36,31,3,0,0,0
123174991,Colgate MaxClean SmartFoam Toothpaste Effervescent Mint - 6.0 Ounce (3 Pack),$5.96,36,13,5,0,0,0
756904117,"Crest Pro-Health Gum and Sensitivity, Sensitive Toothpaste, All Day Protection, 4.1 oz",$6.97,262,50,5,0,0,1
49913249,"ARM & HAMMER Truly Radiant Clean & Fresh Toothpaste, 4.3OZ",$3.49 - $13.96,262,3635,828,124,16,11
