,number,active_from_ingredients,inactive_from_ingredients,active_raw,inactive_raw,name,price
150,271872,"[' Potassium nitrate 5% - Antihypersensitivity', 'Sodium fluoride 0.15% w/v fluoride ion - Anticavity, ']","[' Water', 'sorbitol', 'hydrated silica', 'glycerin', 'PEG-8', 'cocamidopropyl betaine', 'flavor', 'titanium dioxide', 'xanthan gum,sodium saccharin', 'sodium hydroxide.']","Potassium nitrate 5%...anti-hypersensitivity, sodium fluoride 0.15% w/vfluoride ion...anticavity.",water sorbitol hydrated silica glycerin PEG-8 cocamidopropyl betaine flavor titanium dioxide xanthan gum sodium saccharin sodium hydroxide,"Sensodyne Pronamel Gentle Whitening Enamel Toothpaste for Sensitive Teeth, Alpine Breeze - 0.8 Ounces",$1.47 
151,556453289,[' Sodium Fluoride (0.24%) (0.14% w/v Fluoride Ion). Purpose: Anticavity. '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Hydroxyethylcellulose', 'Flavor', 'Sucralose', 'Benzoic Acid', 'Sodium Saccharin', 'Potassium Hydroxide', 'Sodium Benzoate', 'Dipotassium Glycyrrhizate', 'Sodium Lauryl Sulfate', 'Red 33.']",,"Water, Sorbitol, Hydrated Silica, Hydroxyethylcellulose, Sucralose, Flavor, Benzoic Acid, Sodium Saccharin, Potassium Hydroxide, Sodium Benzoate, Dipotassium Glycyrrhizate, Sodium Lauryl Sulfate, Red 33","ACT Kids Fluoride Toothpaste (4.6 Oz, Bubblegum Blowout)",$6.89 
152,555518220,[' Sodium Fluoride (0.15% W/V Fluoride Ion) (0.24 %). Purpose: Anticavity. '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'Peg-12', 'Flavor', 'Sodium Lauryl Sulfate', 'Cellulose Gum', 'Sodium Saccharin', 'Tetrasodium Pyrophosphate', 'Cocamidopropyl Betaine', 'Methylcellulose', 'Titanium Dioxide', 'Fd&C Blue 1.']",Active Ingredient: Sodium Fluoride (0.24% (0.15% w/v Fluoride Ion)). Purpose: Anticavity.,"Inactive Ingredients: Sorbitol, Water, Hydrated Silica, PEG-12, Flavor, Sodium Lauryl Sulfate, Cellulose Gum, Sodium Saccharin, Tetrasodium Pyrophosphate, Cocamidopropyl Betaine, Methylcellulose, FD&C Blue No. 1.","Colgate Max Fresh Knockout Toothpaste with Breath Strips, Electric Mint - 6 Oz",$2.67 
153,577658733,[' Sodium Fluoride 0.243% (0.15% W/V Fluoride Ion) '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Cellulose Gum', 'Sodium Hydroxide', 'Sodium Saccharin', 'Carbomer', 'Charcoal Powder', 'Sucralose', 'Polysorbate 80', 'Mica', 'Titanium Dioxide']",Sodium Fluoride,"Water, Sorbitol, Hydrated Silica, Disodium Pyrophosphate, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Sodium Hydroxide, Sodium Saccharin, Carbomer, Charcoal Powder, Sucralose, Polysorbate 80, Mica, Titanium Dioxide","Crest 3D White Charcoal Whitening Therapy Toothpaste, Mint, .85 oz",$0.97 
154,900203640,"['Active Ingredient Purpose.Sodium Monofluorophosphate 0.76% (0.14% W/V Fluoride Ion) - Anticavity.Inactive Ingredients.Glycerin', 'Hydrated Silica', 'Water', 'Sodium Bicarbonate', 'PEG-12', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Cellulose Gum', 'Carrageenan', 'Sodium Saccharin', 'Calcium Peroxide', 'Titanium Dioxide.']",[],,,"(6 pack) Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 6 Ounce, 3 Pack",$7.68 
155,572026273,[' sodium monofluorophosphate 0.76% '],"[' sorbitol', 'purified water', 'hydrated silica', 'glycerin', 'xylitol', 'charcoal powder', 'xanthan gum', 'flavor', 'titanium dioxide', 'coconut oil', 'cocamidopropyl betaine', 'sodium cocoyl glutamate and stevia rebaudiana leaf extract.']",NA,,"Hello Activated Charcoal Fluoride Whitening Toothpaste, Fresh Mint + Coconut Oil, Vegan & SLS Free, 4oz",$4.82 
156,572026273,[' sodium monofluorophosphate 0.76% '],"[' sorbitol', 'purified water', 'hydrated silica', 'glycerin', 'xylitol', 'charcoal powder', 'xanthan gum', 'flavor', 'titanium dioxide', 'coconut oil', 'cocamidopropyl betaine', 'sodium cocoyl glutamate and stevia rebaudiana leaf extract.']",NA,,"hello Activated Charcoal Whitening Fluoride Toothpaste, Fresh Mint + Coconut Oil, Vegan & SLS Free",$4.82 
157,554845892,[' Sodium Fluoride (0.24%) (0.15% w/v Fluoride Ion). Purpose: Anticavity. '],"[' Sorbitol', 'Hydrated Silica', 'Glycerin', 'Purified Water', 'Xylitol', 'Flavor', 'Xanthan Gum', 'Sodium Lauryl Sulfate', 'Titanium Dioxide and Stevia Rebaudiana Leaf Extract.']",,,"Hello Kids Blue Raspberry Fluoride Toothpaste, Anticavity + Fluoride, Vegan & SLS Free",$4.89 
158,564424167,[' Sodium Monofluorophosphate (0.76%) (0.13% W/V Fluoride Ion). Purpose: Anticavity. '],"[' Glycerin', 'Water', 'Calcium Carbonate', 'Hydrated Silica', 'Natural Flavor (Strawberry Juice And Other Natural Flavor)', 'Carrageenan', 'Sodium Lauryl Sulfate.']",,"Glycerin, Water, Calcium Carbonate, Hydrated Silica, Natural Flavor (Strawberry Juice and Other Natural Flavor), Carrageenan, Sodium Lauryl Sulfate","Tom's of Maine Children's Silly Strawberry Anticavity Natural Toothpaste, 4.2oz",$3.44 
159,564424167,[' Sodium Monofluorophosphate (0.76%) (0.13% W/V Fluoride Ion). Purpose: Anticavity. '],"[' Glycerin', 'Water', 'Calcium Carbonate', 'Hydrated Silica', 'Natural Flavor (Strawberry Juice And Other Natural Flavor)', 'Carrageenan', 'Sodium Lauryl Sulfate.']",,"Glycerin, Water, Calcium Carbonate, Hydrated Silica, Natural Flavor (Strawberry Juice and Other Natural Flavor), Carrageenan, Sodium Lauryl Sulfate","Tom's of Maine Children's Silly Strawberry Anticavity Natural Toothpaste, 4.2oz",$3.44 
160,566122107,[''],[],Active Ingredient: Sodium Fluoride 0.243% (0.15% w/v Fluoride Ion),"Inactive Ingredients: Sorbitol, Water, Hydrated Silica, Sodium Lauryl Sulfate, Trisodium Phosphate, Sodium Phosphate, Cellulose Gum, Flavor, Sodium Saccharin, Carbomer, Mica, Titanium Dioxide, Blue 1&nbsp","Crest Kids Toothpaste, Cavity Protection, Sparkle Fun, 4.6 oz, 3 Pack",$4.97 
161,773425675,[' Sodium fluoride 0.243% (0.15% w/v fluoride ion)'],"[' sorbitol', 'water', 'hydrated silica', 'sodium lauryl sulfate', 'trisodium phosphate', 'cellulose gum', 'flavor', 'sodium phosphate', 'sodium saccharin', 'carbomer', 'red 28']",NA,,"Crest Kid's Crest Cavity Protection Toothpaste Gel Formula, Bubblegum, 4.2 Ounce",$5.44 
162,586386872,"[' Stannous fluoride 0.454% (0.15% w/v fluoride ion) - Anticavity', 'Antigingivitis, ']","[' glycerin', 'PEG-8', 'hydrated silica', 'pentasodium triphosphate', 'flavor', 'sodium lauryl sulfate', 'titanium dioxide', 'polyacrylic acid', 'cocamidopropyl betaine', 'sodium saccharin']",,,Polident ProPartial Remineralizing Toothpaste - 3.4 Ounces,$5.97 
