,product_number,product,product_link
50,564544232,"Sensodyne Complete Protection Sensitive Toothpaste, Extra Fresh - 3.4 Ounces (Pack of 2)",https://www.walmart.com/ip/Sensodyne-Complete-Protection-Sensitive-Toothpaste-Extra-Fresh-3-4-Ounces-Pack-of-2/569749765?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:1PARl9FV3SmPRUQJ8LEsbV2lrwnNHavJAkYsQFOw8TtIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA74D1eCIYkGfYdIQH_ZQ727E0RTb0gJ-DxobMW2Eskt3FR1pIJzx8NKRXUdcALlb8aqOPfhsCI0vN6a54m6Cfy3TXuDAX8nfsBBYrvqy1cNclNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=39&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=bab0b09c-c341-40cf-850c-990e7fe4bc69&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
51,287893,"Sensodyne Pronamel Daily Protection Enamel Toothpaste for Sensitive Teeth, Mint Essence - 4 Ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Daily-Protection-Enamel-Toothpaste-for-Sensitive-Teeth-Mint-Essence-4-Ounces/10316819?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:K3VVFDczzR0q5scSQ0_KwIH7HcRqZ092pjVwsj8m2TIeuWPUz0h2CuZcv6qa90HAgQSJ6odAn4kKNkJmVifRINwo8tOXakuB3JDHuefoAeZ_vr9XgPrhzuaUbfRkqZ1fQpXDDpoD0u9xh95taBA1RGvg7AUzOxl72w2E0GYFzq35fb76ANRQOQxm3spYiFE4GESbrtWMn5Q8VDgesLYA-kkicaBFs8OXJBkSYAodKCZGBdN3StCOLFkFJAn0odVq&wpa_tag=&wpa_aux_info=&wpa_pos=1&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=f3da1f47-52fb-43eb-8edb-7577e7d9ffaf&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
52,277972,"Aquafresh Extreme Clean Whitening Action Fluoride Toothpaste for Cavity Protection, Mint Blast, 5.6 Ounce",https://www.walmart.com/ip/Aquafresh-Extreme-Clean-Whitening-Action-Fluoride-Toothpaste-for-Cavity-Protection-Mint-Blast-5-6-Ounce/10321543
53,551964593,"Sensodyne Pronamel Multi-Action Enamel Toothpaste for Sensitive Teeth, Cleansing Mint - 4 Ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Multi-Action-Enamel-Toothpaste-for-Sensitive-Teeth-Cleansing-Mint-4-Ounces/34458819
54,554845890,"Hello Kids Fluoride Free Natural Watermelon Flavor Toothpaste, Vegan & SLS Free",https://www.walmart.com/ip/Hello-Kids-Fluoride-Free-Natural-Watermelon-Flavor-Toothpaste-Vegan-SLS-Free/49527315
55,554783082,"Tom's of Maine Rapid Relief Sensitive Fluoride-Free Natural Toothpaste, Fresh Mint, 4.0 oz",https://www.walmart.com/ip/Tom-s-of-Maine-Rapid-Relief-Sensitive-Fluoride-Free-Natural-Toothpaste-Fresh-Mint-4-0-oz/47826717
56,578454652,"Colgate Optic White Advanced Teeth Whitening Toothpaste, Sparkling White, 3.2 Oz, 2 Ct",https://www.walmart.com/ip/Colgate-Optic-White-Advanced-Teeth-Whitening-Toothpaste-Sparkling-White-3-2-Oz-2-Ct/944806911
57,557503009,"Colgate Max Fresh Travel Size Toothpaste with Mini Breath Strips, Cool Mint - 1.0 Ounce",https://www.walmart.com/ip/Colgate-Max-Fresh-Travel-Size-Toothpaste-with-Mini-Breath-Strips-Cool-Mint-1-0-Ounce/10311739
58,575186550,"Parodontax Gingivitis Toothpaste for Bleeding Gums, Clean Mint - 3.4 Ounces (Pack of 3)",https://www.walmart.com/ip/Parodontax-Gingivitis-Toothpaste-for-Bleeding-Gums-Clean-Mint-3-4-Ounces-Pack-of-3/786345153?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:CmrZo9rlRjxybtAgBuYlJMKJxNzLKRg5e742VS-vgNLXE537oSY8OqhekOJkjaePgQSJ6odAn4kKNkJmVifRIECYekca9mhynzsV96BZ4zLPWa3b5gIQYvj-TWDlECH9S3KJ99kuOoWiPmv0bPOmqWopeS2YgZPrxYn2cRNOa15Ry3l3zxQCM_-g1MruLRKWzvutgEcxFvKSYet36H1sSQ&wpa_tag=&wpa_aux_info=&wpa_pos=15&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=f3da1f47-52fb-43eb-8edb-7577e7d9ffaf&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
59,556379697,Sensodyne Deep Clean Sensitive Toothpaste - 4 Ounces,https://www.walmart.com/ip/Sensodyne-Deep-Clean-Sensitive-Toothpaste-4-Ounces/124810189
60,554784921,"Sensodyne True White Sensitive Teeth Whitening Toothpaste, Mint - 3 Ounces",https://www.walmart.com/ip/Sensodyne-True-White-Sensitive-Teeth-Whitening-Toothpaste-Mint-3-Ounces/47932060
61,575453678,"Crest 3D White Brilliance Two Step Toothpaste, 4.0 oz and 2.3 oz",https://www.walmart.com/ip/Crest-3D-White-Brilliance-Two-Step-Toothpaste-4-0-oz-and-2-3-oz/45103551
62,208352,Sensodyne Extra Whitening Sensitive Teeth Whitening Toothpaste - 4 Ounces,https://www.walmart.com/ip/Sensodyne-Extra-Whitening-Sensitive-Teeth-Whitening-Toothpaste-4-Ounces/3392
63,570462562,"Sensodyne Rapid Relief Sensitive Toothpaste, Mint - 3.4 Ounces",https://www.walmart.com/ip/Sensodyne-Rapid-Relief-Sensitive-Toothpaste-Mint-3-4-Ounces/696892178
64,587776539,"Crest 3D White Therapy Fluoride Toothpaste, Charcoal, Mint, 4.1 oz",https://www.walmart.com/ip/Crest-3D-White-Therapy-Fluoride-Toothpaste-Charcoal-Mint-4-1-oz/532794165
65,552602235,"Sensodyne Complete Protection Sensitive Toothpaste, Extra Fresh - 3.4 Ounces",https://www.walmart.com/ip/Sensodyne-Complete-Protection-Sensitive-Toothpaste-Extra-Fresh-3-4-Ounces/38587646
66,554779195,Tom's of Maine Silly Strawberry Fluoride-Free Natural Toothpaste 4.2 oz Paste,https://www.walmart.com/ip/Tom-s-of-Maine-Silly-Strawberry-Fluoride-Free-Natural-Toothpaste-4-2-oz-Paste/26965411
67,297488,"Tom's of Maine Simply White Natural Toothpaste, Clean Mint, 4.7 oz",https://www.walmart.com/ip/Tom-s-of-Maine-Simply-White-Natural-Toothpaste-Clean-Mint-4-7-oz/16627498
68,566183860,"Sensodyne Pronamel Daily Protection Enamel Toothpaste for Sensitive Teeth, Mint Essence - 4 Ounces (Pack of 2)",https://www.walmart.com/ip/Sensodyne-Pronamel-Daily-Protection-Enamel-Toothpaste-for-Sensitive-Teeth-Mint-Essence-4-Ounces-Pack-of-2/461865283
69,556753618,"Crest Pro Health Whitening Fluoride Gel Toothpaste, 4.6 oz",https://www.walmart.com/ip/Crest-Pro-Health-Whitening-Fluoride-Gel-Toothpaste-4-6-oz/130236716
70,551964501,Orajel PAW Patrol Anticavity Fluoride Toothpaste- Bubble Berry Flavor- Kids Toothpaste 4.2oz Tube,https://www.walmart.com/ip/Orajel-PAW-Patrol-Anticavity-Fluoride-Toothpaste-Bubble-Berry-Flavor-Kids-Toothpaste-4-2oz-Tube/34788353
71,200915,"Close-Up Anticavity Fluoride Freshening Gel Toothpaste with Mouthwash, 8.0 OZ",https://www.walmart.com/ip/Close-Up-Anticavity-Fluoride-Freshening-Gel-Toothpaste-with-Mouthwash-8-0-OZ/10291053
72,554897320,"Equate Maximum Strength Sensitive Extra Whitening Toothpaste with Fluoride, 4 oz",https://www.walmart.com/ip/Equate-Maximum-Strength-Sensitive-Extra-Whitening-Toothpaste-with-Fluoride-4-oz/49943235
73,572026271,"Hello Naturally Healthy Whitening Fluoride Toothpaste, Tea Tree + Coconut Oil, Vegan & SLS Free",https://www.walmart.com/ip/Hello-Naturally-Healthy-Whitening-Fluoride-Toothpaste-Tea-Tree-Coconut-Oil-Vegan-SLS-Free/231730593
74,577118171,"Equate Beauty Antiplaque & Whitening Toothpaste, Peppermint, 5.5 Oz Tube",https://www.walmart.com/ip/Equate-Beauty-Antiplaque-Whitening-Toothpaste-Peppermint-5-5-Oz-Tube/463221476
